Source1	Source2	RuleID
7	7	6
1	1	6
2	2	6
3	3	6
73	73	6
86	86	6
59	59	6
71	71	5
91	91	6
39	39	6
40	40	6
52	52	6
44	44	6
13	13	6
69	69	6
64	64	6
87	87	6
84	84	6
21	21	6
43	43	5
56	56	6
62	62	6
94	94	6
16	16	6
4	4	6
5	5	5
26	26	6
33	33	6
41	41	6
45	45	6
58	58	6
38	38	5
23	23	6
68	68	6
60	60	6
77	77	6
28	28	6
34	34	6
6	6	5
19	19	6
100	100	6
78	78	6
50	50	6
74	74	6
25	25	6
35	35	6
49	49	6
63	63	6
66	66	6
90	90	6
14	14	6
32	32	6
48	48	6
24	24	6
47	47	6
83	83	6
89	89	6
93	93	6
95	95	6
55	55	6
8	8	6
51	51	6
27	27	6
12	12	6
61	61	6
67	67	6
72	72	6
20	20	6
65	65	6
76	76	6
15	15	6
9	9	6
10	10	6
37	37	6
97	97	6
92	92	5
98	98	6
85	85	5
88	88	5
96	96	6
29	29	6
70	70	6
82	82	6
57	57	6
42	42	6
54	54	5
18	18	6
22	22	6
80	80	6
81	81	6
30	30	6
46	46	6
53	53	6
11	11	6
17	17	6
79	79	6
36	36	6
99	99	6
31	31	6
