Source1	Source2	RuleID
337	337	6
50	50	6
4	4	6
1	1	6
921	921	6
2	2	6
59	59	6
98	98	6
347	347	5
529	529	6
858	858	5
581	581	6
747	747	6
511	511	6
872	872	6
989	989	6
558	558	6
998	998	6
214	214	6
562	562	5
636	636	6
839	839	6
439	439	5
571	571	5
796	796	6
305	305	6
128	128	6
635	635	5
289	289	5
359	359	6
505	505	6
556	556	6
363	363	6
909	909	6
667	667	6
867	867	6
759	759	6
335	335	6
292	292	6
386	386	6
586	586	6
619	619	6
528	528	6
168	168	6
723	723	6
742	742	5
535	535	6
66	66	6
374	374	6
992	992	6
264	264	6
876	876	6
675	675	6
764	764	6
783	783	6
299	299	6
161	161	6
241	241	6
345	345	6
561	561	6
681	681	6
517	517	6
46	46	6
634	634	6
696	696	6
968	968	5
849	849	5
504	504	6
847	847	6
114	114	6
190	190	6
930	930	6
971	971	5
367	367	6
653	653	5
756	756	6
927	927	6
810	810	6
704	704	6
23	23	6
29	29	6
250	250	6
615	615	6
216	216	6
789	789	6
70	70	6
79	79	6
426	426	6
451	451	6
151	151	6
101	101	6
111	111	6
308	308	6
448	448	6
286	286	6
797	797	6
173	173	6
177	177	5
365	365	6
87	87	6
474	474	6
577	577	5
984	984	5
221	221	6
153	153	6
155	155	6
521	521	5
575	575	5
174	174	6
802	802	6
700	700	6
995	995	6
78	78	6
417	417	6
844	844	5
428	428	6
513	513	6
749	749	6
914	914	6
440	440	6
412	412	6
906	906	6
579	579	6
674	674	5
273	273	6
202	202	6
234	234	6
443	443	6
60	60	6
13	13	6
863	863	6
920	920	6
828	828	6
40	40	6
67	67	6
162	162	6
277	277	6
771	771	6
898	898	6
404	404	6
507	507	6
964	964	6
763	763	6
775	775	6
360	360	6
394	394	6
401	401	6
242	242	5
843	843	6
848	848	6
334	334	6
89	89	6
296	296	6
663	663	5
892	892	6
463	463	6
473	473	6
195	195	5
572	572	6
861	861	6
882	882	6
47	47	6
895	895	6
477	477	6
702	702	6
211	211	6
258	258	6
380	380	6
400	400	6
621	621	6
779	779	6
997	997	6
680	680	6
727	727	6
25	25	6
77	77	6
441	441	6
732	732	6
671	671	6
890	890	6
494	494	6
518	518	6
650	650	6
207	207	6
269	269	6
255	255	6
818	818	6
973	973	5
142	142	6
229	229	6
152	152	6
80	80	6
455	455	6
855	855	5
865	865	6
498	498	6
609	609	6
403	403	6
604	604	6
379	379	6
